,Symbol,Description,Exchange,Last Price,Market Cap
344,BDSI,Biodelivery Sci Intl,NASDAQ,0,0
345,BEAT,Biotelemetry Inc,NASDAQ,0,0
346,BECN,Beacon Roofing Suppl,NASDAQ,0,0
347,BELFA,Bel Fuse Cl A,NASDAQ,0,0
348,BELFB,Bel Fuse Inc Cl B,NASDAQ,0,0
349,BFC,Bank First National Corp. (Wisconsin),NASDAQ,0,0
350,BFIN,Bankfinancial Corpor,NASDAQ,0,0
351,BFIT,G-X Health & Wellness Thematic Et,NASDAQ,0,0
352,BFRA,Biofrontera Ag ADR,NASDAQ,0,0
353,BFST,Business First Bancshares Inc,NASDAQ,0,0
354,BGCP,Bgc Partners Cl A,NASDAQ,0,0
355,BGCPV,Bgc Partners Inc. Class A Common Stock Ex-Distr,NASDAQ,0,0
356,BGFV,Big 5 Sporting,NASDAQ,0,0
357,BGNE,Beigene Ltd Ads,NASDAQ,0,0
358,BGRN,Ishares Global Green Bond ETF,NASDAQ,0,0
359,BHBK,Blue Hills Bancorp,NASDAQ,0,0
360,BHF,Brighthouse Financial Inc,NASDAQ,0,0
361,BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordi,NASDAQ,0,0
362,BHTG,Biohitech Global Inc,NASDAQ,0,0
363,BIB,Ultra Nasdaq Biotech Proshares,NASDAQ,0,0
364,BICK,BICK Index Fund FT,NASDAQ,0,0
365,BIDU,Baidu Inc,NASDAQ,0,0
366,BIIB,Biogen Inc,NASDAQ,0,0
367,BILI,Bilibili Inc. ADR,NASDAQ,0,0
368,BIOC,Biocept Inc,NASDAQ,0,0
369,BIOL,Biolase Inc,NASDAQ,0,0
370,BIOS,Bioscrip Inc,NASDAQ,0,0
371,BIS,Ultrashort Biotechnology Proshares,NASDAQ,0,0
372,BJRI,Bj's Restaurants Inc,NASDAQ,0,0
373,BKCC,Blackrock Cptl Invt,NASDAQ,0,0
374,BKEP,Blueknight Energy LP,NASDAQ,0,0
375,BKEPP,Blueknight Srs A Uts,NASDAQ,0,0
376,BKNG,Booking Holdings Inc,NASDAQ,0,0
377,BKSC,Bank of So Car Cp,NASDAQ,0,0
378,BKYI,Bio-Key Intl Inc,NASDAQ,0,0
379,BL,Blackline Inc,NASDAQ,0,0
380,BLBD,Blue Bird Corp,NASDAQ,0,0
381,BLCM,Bellicum Pharma Comm,NASDAQ,0,0
382,BLCN,Reality Shares Nasdaq Nextgen Economy ETF,NASDAQ,0,0
383,BLDP,Ballard Power Sys,NASDAQ,0,0
384,BLDR,Builders Firstsource,NASDAQ,0,0
385,BLFS,Biolife Solutions,NASDAQ,0,0
386,BLIN,Bridgeline Digital,NASDAQ,0,0
387,BLKB,Blackbaud Inc,NASDAQ,0,0
388,BLMN,Bloomin' Brands Inc,NASDAQ,0,0
389,BLMT,Bsb Bancorp Inc,NASDAQ,0,0
390,BLNK,Blink Charging Co,NASDAQ,0,0
391,BLNKW,Blink Charging Co. Warrant,NASDAQ,0,0
392,BLPH,Bellerophon Ther Com,NASDAQ,0,0
393,BLRX,Biolinerx Ltd,NASDAQ,0,0
394,BLUE,Bluebird Bio,NASDAQ,0,0
395,BMCH,Bmc Stock Holdings,NASDAQ,0,0
396,BMLP,Bank of Montreal BMO Elkhorn DWA MLP Select,NASDAQ,0,0
397,BMRA,Biomerica Inc,NASDAQ,0,0
398,BMRC,Bank of Marin Bancrp,NASDAQ,0,0
399,BMRN,Biomarin Pharmaceut,NASDAQ,0,0
400,BMTC,Bryn Mawr Bank Corp,NASDAQ,0,0
401,BNCL,Beneficial Bancorp,NASDAQ,0,0
402,BND,Total Bond Market ETF Vanguard,NASDAQ,0,0
403,BNDW,Vanguard Total World Bond ETF,NASDAQ,0,0
404,BNDX,Total Intl Bond ETF Vanguard,NASDAQ,0,0
405,BNFT,Benefitfocus,NASDAQ,0,0
406,BNGO,Bionano Genomics Inc,NASDAQ,0,0
407,BNGOW,Bionano Genomics Inc Warrant,NASDAQ,0,0
408,BNSO,Bonso Elec Intl In,NASDAQ,0,0
409,BNTC,Benitec Biopharm Ads,NASDAQ,0,0
410,BNTCW,Benitec Biopharm Wrt,NASDAQ,0,0
411,BOCH,Bank of Commerce Hld,NASDAQ,0,0
412,BOJA,Bojangles Inc CS,NASDAQ,0,0
413,BOKF,Bok Financial Corp,NASDAQ,0,0
414,BOKFL,Bok Financial Corp,NASDAQ,0,0
415,BOLD,Audentes Therapeutics Inc,NASDAQ,0,0
416,BOMN,Boston Omaha Corporation Class A,NASDAQ,0,0
417,BOOM,Dynamic Materials,NASDAQ,0,0
418,BOSC,Bos Better Online,NASDAQ,0,0
419,BOTJ,Bank of The Jame Fnl,NASDAQ,0,0
420,BOTZ,G-X Robotics & Artificial Intel Thmtc ETF,NASDAQ,0,0
421,BOXL,Boxlight Corporation Class A,NASDAQ,0,0
422,BPFH,Boston Pvt Finl Hldg,NASDAQ,0,0
423,BPFHW,Boston Private Wts,NASDAQ,0,0
424,BPMC,Blueprint Medi Cm ST,NASDAQ,0,0
425,BPOP,Popular Inc,NASDAQ,0,0
426,BPOPM,Popular Inc Trust II,NASDAQ,0,0
427,BPOPN,Popular Inc Trust I,NASDAQ,0,0
428,BPR,Brookfield Property REIT Inc,NASDAQ,0,0
429,BPRAP,Brookfield Property REIT Inc. 6.375% Series A,NASDAQ,0,0
430,BPRN,Bank of Princeton,NASDAQ,0,0
431,BPTH,Bio-Path Holdings,NASDAQ,0,0
432,BPY,Brookfield Property Partners L,NASDAQ,0,0
433,BRAC,Black Ridge Acquisition Corp,NASDAQ,0,0
434,BRACR,Black Ridge Acquisition Corp Right,NASDAQ,0,0
435,BRACU,Black Ridge Acquisition Corp Unit,NASDAQ,0,0
436,BREW,Craft Brew Alliance,NASDAQ,0,0
437,BRID,Bridgford Foods Cp,NASDAQ,0,0
438,BRKL,Brookline Bancorp,NASDAQ,0,0
439,BRKR,Bruker Corp,NASDAQ,0,0
440,BRKS,Brooks Automation,NASDAQ,0,0
441,BRPA,Big Rock Partners Acquisition Corp,NASDAQ,0,0
442,BRPAR,Big Rock Partners Acquisition Corp Right,NASDAQ,0,0
443,BRPAU,Big Rock Partners Acquisition Corp Unit,NASDAQ,0,0
444,BRPAW,Big Rock Partners Acquisition Corp Warrant,NASDAQ,0,0
445,BRQS,Borqs Technologies Inc,NASDAQ,0,0
446,BRY,Berry Pete Corp,NASDAQ,0,0
447,BSET,Bassett Furniture,NASDAQ,0,0
448,BSGM,Biosig Technologies,NASDAQ,0,0
449,BSQR,Bsquare Corp,NASDAQ,0,0
450,BSRR,Sierra Bancorp,NASDAQ,0,0
451,BSTC,Biospecifics Tech Cp,NASDAQ,0,0
452,BSVN,Bank7 Corp,NASDAQ,0,0
453,BTAI,Bioxcel Therapeutics Inc,NASDAQ,0,0
454,BTEC,Principal Healthcare Innovators Index,NASDAQ,0,0
455,BURG,Chanticleer Hldgs,NASDAQ,0,0
456,BUSE,First Busey Corp,NASDAQ,0,0
457,BVSN,Broadvision Inc,NASDAQ,0,0
458,BVXV,Biondvax Pharma Ads,NASDAQ,0,0
459,BVXVW,Biondvax Pharma WT,NASDAQ,0,0
460,BWB,Bridgewater Bancshares Inc,NASDAQ,0,0
461,BWEN,Broadwind Energy Inc,NASDAQ,0,0
462,BWFG,Bankwell Financial,NASDAQ,0,0
